lat, lon,theta,x,y,psi,vel,psi_dot,??,???
35.1949348339,-97.4398235991194.971553874,30.8687301542,-47.9338672002,-349968.120211,-1.23583336993E-09,3345.11483855,164316.047691,-164310.686295,-9.68819466673E-07
35.1949306056,-97.4398202797200.589024926,31.3388175044,-45.9248256511,-351704.265049,-2.59975504423E-11,4019.4803962,165178.694198,-165173.332802,-9.68188476898E-07
35.1949300313,-97.439812181205.490230944,35.4640743532,-45.1264054997,-353195.40001,-3.36351298961E-12,2360.24699934,165918.036038,-165912.674642,-9.68185658083E-07
35.1949276753,-97.4398059143211.300535373,41.9806682883,-48.5251504106,-354770.284533,-3.33712270569E-12,3697.96433474,166698.99294,-166693.631544,-9.6818564549E-07
35.1949272246,-97.4398016166216.745039721,43.7897613116,-48.8977125999,-356213.749886,-3.34134895609E-12,3724.24220936,167414.869541,-167409.508144,-9.68185645434E-07
35.1949255029,-97.4397937248222.201248345,40.5141441224,-48.6363990738,-357592.5858,-3.34104654332E-12,3961.41549752,168099.932986,-168094.57159,-9.68185645434E-07
35.1949235088,-97.4397819619227.427641585,44.5309594628,-49.4237877571,-358960.863472,-3.35580736844E-12,3385.36782171,168778.329458,-168772.968062,-9.68185645434E-07
35.1949234057,-97.4397687351232.696731594,47.5900193888,-45.8841178444,-360194.117445,0.000785828563148,4258.34284883,169390.994374,-169385.617411,0.423004904493
35.1949218806,-97.4397618649237.324970754,53.7073158749,-44.8272204199,-361438.414445,0.000115496073046,1767.61232793,170009.14203,-170003.705069,0.00837424698713
35.1949200973,-97.4397445212242.735232181,56.0121122175,-45.010574148,-362664.180631,2.60301395439E-06,3114.86799583,170617.661344,-170612.222539,5.1667971639E-05
35.194920005,-97.4397336294247.661456486,58.3971331093,-47.1525933933,-363801.088908,0.00177728762773,2995.45428202,171182.019672,-171176.561737,0.410531245419
35.1949199998,-97.439719881252.120765243,57.6039550291,-45.5509076234,-364840.051433,0.00125127524942,3820.24622394,171698.644957,-171693.072764,0.267511865904
35.1949199924,-97.4397038919254.314753696,60.1261789953,-46.140524771,-365912.520126,0.00404537692388,1521.12049508,172230.053047,-172223.888875,0.49042789812
35.1949175266,-97.4396855741255.065518265,63.4743759306,-46.8048141628,-366993.728318,8.62700036816E-05,2686.06844461,172765.682696,-172759.456096,0.00220073766991
35.1949158893,-97.439672452255.413860559,64.5016184561,-43.8811748978,-367958.552058,1.83731565387E-06,2126.43461895,173241.816682,-173235.588753,1.27748619861E-05
35.1949158046,-97.4396501997255.903314278,63.5019885699,-43.541984587,-369068.747641,3.91296209935E-08,2598.67041971,173791.120777,-173784.89282,3.0005924893E-06
35.1949158002,-97.439634741256.44465144,65.5943270505,-44.4968477945,-370100.79367,8.32024942403E-10,2525.73975561,174302.000679,-174295.772721,2.95692797003E-06
35.1949158,-97.4396139333256.583356384,68.3793954798,-42.6065746405,-371050.854764,1.96270440052E-11,2000.85941022,174771.119352,-174764.891394,2.95673290785E-06
35.1949158,-97.4395975924257.249993792,69.6184087444,-41.1718467542,-372140.145437,2.00372656345E-12,2564.51622966,175310.082272,-175303.854314,2.95673203645E-06
35.194914826,-97.4395803054257.932452101,72.5195245056,-41.0868864346,-373129.494823,2.02931609377E-12,2982.67096507,175798.619775,-175792.391817,2.95673203256E-06
35.1949121462,-97.4395613341258.142754873,68.556561736,-41.5548951109,-374165.82793,2.27781068424E-12,2541.26155483,176312.025739,-176305.797781,2.95673203254E-06
35.1949120076,-97.4395445423258.732121239,69.4484584657,-40.8059619869,-375160.211559,2.25351992137E-12,2729.13638796,176804.557065,-176798.329107,2.95673203254E-06
35.1949120004,-97.4395256246259.09796873,65.3688247531,-42.1447638134,-376167.088764,2.32841053339E-12,2578.41316802,177302.147208,-177295.91925,2.95673203254E-06
35.194912,-97.4395099354259.603032167,63.7083627737,-40.5565610011,-377156.378115,2.48399704411E-12,2699.29208894,177790.727619,-177784.499662,2.95673203254E-06
35.194912,-97.4394870913259.96353406,62.7070542222,-41.7223296271,-378158.215628,2.35366860886E-12,2525.8267014,178286.466965,-178280.239007,2.95673203254E-06
35.194912,-97.4394732287260.496947383,62.4629859068,-41.8913674095,-379138.848469,2.2012654865E-12,2677.13490121,178772.418693,-178766.190735,2.95673203254E-06
35.194912,-97.439451387260.87901346,63.0967723294,-43.2042641104,-380126.492831,2.16684301152E-12,2563.12082585,179260.4114,-179254.183442,2.95673203254E-06
